Unnamed: 0,SR. NO.,TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS,RATING
0,1,Chennai Super King,29500000,8,25.0,
1,2,Delhi Capitals,1000000,7,24.0,
2,3,Gujrat Titans,1500000,8,23.0,
3,4,Kolkata Knight Riders,4500000,8,25.0,
4,5,Lucknow Super Gaints,0,7,28.0,
5,6,Mumbai Indians,1000000,8,5000.0,5000.0
6,7,Punjab Kings,3450000,7,25.0,
7,8,Rajasthan Royals,9500000,8,24.0,
8,9,Royal Challengers Bangloro,1550000,8,22.0,
9,10,Sunrisers Hydrabad,10000000,8,23.0,
